node_id,actor,actor_full,premise_id,converge_F,g_entailment_max,nivel,texto
BroadlyAffectedAutism_0_0,BR,Broadly affected autism,,0,0.9893,0,"An autistic cognitive architecture that prioritizes local sensory detail over global coherence, operates through concrete-visual representations, requires explicit rule structures, and regulates learning through predictable, closed-loop feedback, with hyperfocused, effortful attention regulation, and emotionally dysregulated, alexithymic affective processing, with delayed developmental timing and slowed complex processing."
BroadlyAffectedAutism_1_1,BR,Broadly affected autism,A1,1,0.9947,1,BroadlyAffectedAutism goes offline from excessive sensory input
BroadlyAffectedAutism_2_5,BR,Broadly affected autism,A1,1,0.9967,2,BroadlyAffectedAutism cannot engage in learning or social interaction
BroadlyAffectedAutism_3_22,BR,Broadly affected autism,A1,1,0.9962,3,BroadlyAffectedAutism remains unavailable for instruction until regulation restored
BroadlyAffectedAutism_4_82,BR,Broadly affected autism,A24,1,0.9957,4,BroadlyAffectedAutism cannot register any feedback given now
BroadlyAffectedAutism_4_83,BR,Broadly affected autism,A19,1,0.9982,4,BroadlyAffectedAutism cannot reallocate resources to classroom tasks
BroadlyAffectedAutism_5_232,BR,Broadly affected autism,A1,1,0.994,5,BroadlyAffectedAutism misses instructional content delivered now
BroadlyAffectedAutism_5_233,BR,Broadly affected autism,A8,1,0.9959,5,BroadlyAffectedAutism fails to encode this classroom episode
BroadlyAffectedAutism_5_234,BR,Broadly affected autism,A10,1,0.9908,5,BroadlyAffectedAutism cannot later retrieve this event without cues
BroadlyAffectedAutism_3_23,BR,Broadly affected autism,A1,1,0.9967,3,BroadlyAffectedAutism cannot acquire new information in this state
BroadlyAffectedAutism_3_24,BR,Broadly affected autism,A1,1,0.9962,3,BroadlyAffectedAutism cannot respond to classroom social exchanges now
BroadlyAffectedAutism_4_89,BR,Broadly affected autism,A24,1,0.9962,4,BroadlyAffectedAutism misses causally-linked feedback from this exchange
BroadlyAffectedAutism_5_200,BR,Broadly affected autism,A24,1,0.9972,5,BroadlyAffectedAutism does not update behavior from this exchange
BroadlyAffectedAutism_5_201,BR,Broadly affected autism,A8,1,0.9847,5,BroadlyAffectedAutism fails to encode this exchange as episodic memory
BroadlyAffectedAutism_5_202,BR,Broadly affected autism,A10,1,0.9937,5,BroadlyAffectedAutism cannot later recall this exchange without visual cues
BroadlyAffectedAutism_4_90,BR,Broadly affected autism,A16,1,0.9904,4,BroadlyAffectedAutism's emotional response to this exchange occurs later
BroadlyAffectedAutism_5_190,BR,Broadly affected autism,A24,0,0.9963,5,BroadlyAffectedAutism cannot link delayed reaction to triggering event
BroadlyAffectedAutism_5_191,BR,Broadly affected autism,A14,1,0.9962,5,BroadlyAffectedAutism cannot label the emotion when it surfaces
BroadlyAffectedAutism_5_192,BR,Broadly affected autism,A16,1,0.9942,5,BroadlyAffectedAutism's delayed reaction appears disconnected from classroom context
BroadlyAffectedAutism_4_91,BR,Broadly affected autism,A18,1,0.9955,4,BroadlyAffectedAutism fails to retrieve applicable pragmatic rules now
BroadlyAffectedAutism_2_6,BR,Broadly affected autism,A1,1,0.9971,2,BroadlyAffectedAutism remains offline until sensory regulation restored
BroadlyAffectedAutism_3_19,BR,Broadly affected autism,A1,1,0.9977,3,BroadlyAffectedAutism cannot engage in classroom learning tasks
BroadlyAffectedAutism_4_71,BR,Broadly affected autism,A1,1,0.998,4,BroadlyAffectedAutism cannot engage in social interaction now
BroadlyAffectedAutism_5_179,BR,Broadly affected autism,A14,1,0.9953,5,BroadlyAffectedAutism experiences unlabeled physiological arousal currently
BroadlyAffectedAutism_5_180,BR,Broadly affected autism,A24,1,0.9928,5,BroadlyAffectedAutism receives no actionable feedback during this interval
BroadlyAffectedAutism_4_72,BR,Broadly affected autism,A24,1,0.9859,4,BroadlyAffectedAutism receives no feedback to update behavior
BroadlyAffectedAutism_5_209,BR,Broadly affected autism,A24,1,0.9932,5,BroadlyAffectedAutism's behavior remains unchanged for future sensory events
BroadlyAffectedAutism_5_210,BR,Broadly affected autism,A19,1,0.9957,5,BroadlyAffectedAutism continues relying on pre-existing classroom routines
BroadlyAffectedAutism_5_211,BR,Broadly affected autism,A6,1,0.9909,5,BroadlyAffectedAutism fails to adapt learning to the new lighting
BroadlyAffectedAutism_3_20,BR,Broadly affected autism,A1,1,0.993,3,BroadlyAffectedAutism cannot process teacher's spoken instructions
BroadlyAffectedAutism_4_65,BR,Broadly affected autism,A23,1,0.9955,4,BroadlyAffectedAutism cannot apply teacher's implicit expectations
BroadlyAffectedAutism_5_170,BR,Broadly affected autism,A18,0,0.9891,5,BroadlyAffectedAutism requires conscious retrieval to match social rules
BroadlyAffectedAutism_5_171,BR,Broadly affected autism,A24,1,0.9966,5,BroadlyAffectedAutism's behavior fails to update without explicit feedback
BroadlyAffectedAutism_4_66,BR,Broadly affected autism,A24,0,0.9793,4,BroadlyAffectedAutism receives no actionable feedback from instructions
BroadlyAffectedAutism_5_166,BR,Broadly affected autism,A24,1,0.9916,5,BroadlyAffectedAutism does not update behavior from the instructions
BroadlyAffectedAutism_5_167,BR,Broadly affected autism,A1,1,0.9964,5,BroadlyAffectedAutism remains unable to engage until regulation restored
BroadlyAffectedAutism_5_168,BR,Broadly affected autism,A19,1,0.9921,5,BroadlyAffectedAutism defaults to previously established classroom routine
BroadlyAffectedAutism_4_67,BR,Broadly affected autism,A20,1,0.9896,4,BroadlyAffectedAutism registers unanticipated disruption to routine
BroadlyAffectedAutism_3_21,BR,Broadly affected autism,A1,1,0.9963,3,BroadlyAffectedAutism cannot initiate social interaction with peers
BroadlyAffectedAutism_4_78,BR,Broadly affected autism,A15,1,0.9977,4,BroadlyAffectedAutism cannot infer peers' behavioral cues now
BroadlyAffectedAutism_5_163,BR,Broadly affected autism,A23,1,0.9966,5,BroadlyAffectedAutism fails to detect unspoken peer expectations
BroadlyAffectedAutism_5_164,BR,Broadly affected autism,A16,1,0.9959,5,BroadlyAffectedAutism will emotionally respond only after delay
BroadlyAffectedAutism_5_165,BR,Broadly affected autism,A15,1,0.9918,5,BroadlyAffectedAutism shows no automatic empathic mirroring now
BroadlyAffectedAutism_2_8,BR,Broadly affected autism,A20,1,0.998,2,BroadlyAffectedAutism registers disproportionate prediction error from the change
BroadlyAffectedAutism_3_29,BR,Broadly affected autism,A20,1,0.9977,3,BroadlyAffectedAutism experiences disruption disproportionate to the actual change
BroadlyAffectedAutism_4_93,BR,Broadly affected autism,A19,1,0.9969,4,BroadlyAffectedAutism cannot reallocate cognitive resources to other tasks
BroadlyAffectedAutism_5_175,BR,Broadly affected autism,A1,1,0.9968,5,BroadlyAffectedAutism remains unavailable for learning and social engagement
BroadlyAffectedAutism_5_176,BR,Broadly affected autism,A19,1,0.9966,5,BroadlyAffectedAutism cannot allocate resources to routine tasks
BroadlyAffectedAutism_4_94,BR,Broadly affected autism,A21,1,0.9909,4,BroadlyAffectedAutism cannot process this disruption as neutral information
BroadlyAffectedAutism_5_246,BR,Broadly affected autism,A21,1,0.9871,5,BroadlyAffectedAutism activates a threat response to the change
BroadlyAffectedAutism_5_247,BR,Broadly affected autism,A16,1,0.998,5,BroadlyAffectedAutism delays its emotional response to the change
BroadlyAffectedAutism_5_248,BR,Broadly affected autism,A20,1,0.9965,5,BroadlyAffectedAutism treats the light change as high-priority error
BroadlyAffectedAutism_3_31,BR,Broadly affected autism,A19,1,0.9838,3,BroadlyAffectedAutism cannot allocate resources without the prior routine
BroadlyAffectedAutism_4_101,BR,Broadly affected autism,A1,1,0.9977,4,BroadlyAffectedAutism remains unable to engage in learning
BroadlyAffectedAutism_5_238,BR,Broadly affected autism,A6,0,0.9937,5,BroadlyAffectedAutism experiences overload rather than adaptive updating
BroadlyAffectedAutism_3_32,BR,Broadly affected autism,A6,1,0.994,3,BroadlyAffectedAutism cannot flexibly update to the altered environment
BroadlyAffectedAutism_4_109,BR,Broadly affected autism,A6,0,0.9967,4,BroadlyAffectedAutism experiences processing overload from the classroom change
BroadlyAffectedAutism_4_110,BR,Broadly affected autism,A19,1,0.9978,4,BroadlyAffectedAutism loses the routine that freed cognitive resources
BroadlyAffectedAutism_5_196,BR,Broadly affected autism,A19,0,0.9745,5,BroadlyAffectedAutism must allocate resources to re-derive structure
BroadlyAffectedAutism_5_199,BR,Broadly affected autism,A7,1,0.9974,5,BroadlyAffectedAutism processes classroom information more slowly now
BroadlyAffectedAutism_4_111,BR,Broadly affected autism,A22,1,0.9983,4,BroadlyAffectedAutism cannot generalize prior classroom rules to new lighting
BroadlyAffectedAutism_4_112,BR,Broadly affected autism,A1,1,0.9945,4,BroadlyAffectedAutism remains unavailable for learning under the new lights
BroadlyAffectedAutism_1_2,BR,Broadly affected autism,A2,1,0.9952,1,BroadlyAffectedAutism cannot automatically filter buzzing and brightness
BroadlyAffectedAutism_2_12,BR,Broadly affected autism,A1,1,0.9933,2,BroadlyAffectedAutism's sensory regulation threshold is exceeded
BroadlyAffectedAutism_3_25,BR,Broadly affected autism,A1,1,0.9982,3,BroadlyAffectedAutism's cognitive processing becomes unavailable
BroadlyAffectedAutism_4_59,BR,Broadly affected autism,A1,1,0.9973,4,BroadlyAffectedAutism's learning becomes unavailable
BroadlyAffectedAutism_3_26,BR,Broadly affected autism,A1,1,0.9979,3,BroadlyAffectedAutism's social engagement becomes unavailable
BroadlyAffectedAutism_4_108,BR,Broadly affected autism,A16,0,0.9926,4,BroadlyAffectedAutism's response to this event will be delayed
BroadlyAffectedAutism_3_27,BR,Broadly affected autism,A14,1,0.9977,3,BroadlyAffectedAutism experiences arousal without naming the emotion
BroadlyAffectedAutism_4_69,BR,Broadly affected autism,A16,1,0.9971,4,BroadlyAffectedAutism's emotional response will surface only later
BroadlyAffectedAutism_5_151,BR,Broadly affected autism,A16,0,0.4423,5,"BroadlyAffectedAutism's reaction may attach to a later, unrelated event"
BroadlyAffectedAutism_5_152,BR,Broadly affected autism,A24,1,0.9972,5,BroadlyAffectedAutism cannot link feedback to the original trigger
BroadlyAffectedAutism_5_153,BR,Broadly affected autism,A21,0,0.99,5,BroadlyAffectedAutism risks the delayed reaction being framed as failure
BroadlyAffectedAutism_4_70,BR,Broadly affected autism,A14,0,0.9514,4,BroadlyAffectedAutism cannot report what internal state it is in
BroadlyAffectedAutism_5_208,BR,Broadly affected autism,A15,0,0.9899,5,BroadlyAffectedAutism cannot signal its distress to others
BroadlyAffectedAutism_3_28,BR,Broadly affected autism,A16,1,0.9956,3,BroadlyAffectedAutism's emotional response is delayed beyond the trigger
BroadlyAffectedAutism_4_62,BR,Broadly affected autism,A14,1,0.9976,4,BroadlyAffectedAutism cannot label the emerging emotional state
BroadlyAffectedAutism_5_154,BR,Broadly affected autism,A14,0,0.9413,5,BroadlyAffectedAutism's physiological arousal remains unidentified internally
BroadlyAffectedAutism_4_63,BR,Broadly affected autism,A16,1,0.9915,4,BroadlyAffectedAutism's reaction surfaces after the classroom event ends
BroadlyAffectedAutism_5_157,BR,Broadly affected autism,A24,1,0.9919,5,BroadlyAffectedAutism's reaction cannot be causally linked to the trigger
BroadlyAffectedAutism_5_159,BR,Broadly affected autism,A16,1,0.9952,5,BroadlyAffectedAutism's emotional processing remains offset from real-time events
BroadlyAffectedAutism_2_13,BR,Broadly affected autism,A1,1,0.9978,2,BroadlyAffectedAutism goes offline for learning and social engagement
BroadlyAffectedAutism_3_52,BR,Broadly affected autism,A1,1,0.9976,3,BroadlyAffectedAutism cannot process classroom instruction right now
BroadlyAffectedAutism_4_146,BR,Broadly affected autism,A6,1,0.998,4,BroadlyAffectedAutism experiences processing overload from the environmental change
BroadlyAffectedAutism_4_147,BR,Broadly affected autism,A24,1,0.9952,4,BroadlyAffectedAutism receives no usable feedback during instructional disruption
BroadlyAffectedAutism_4_148,BR,Broadly affected autism,A19,1,0.9876,4,BroadlyAffectedAutism cannot allocate resources to the disrupted routine
BroadlyAffectedAutism_2_14,BR,Broadly affected autism,A2,1,0.9977,2,BroadlyAffectedAutism weights buzzing equally with instructional content
BroadlyAffectedAutism_3_39,BR,Broadly affected autism,A1,1,0.9958,3,BroadlyAffectedAutism risks going offline for learning
BroadlyAffectedAutism_4_136,BR,Broadly affected autism,A1,1,0.9963,4,BroadlyAffectedAutism suspends cognitive processing until regulation restored
BroadlyAffectedAutism_5_241,BR,Broadly affected autism,A21,1,0.9911,5,BroadlyAffectedAutism cannot process error as learning now
BroadlyAffectedAutism_4_137,BR,Broadly affected autism,A1,1,0.9978,4,BroadlyAffectedAutism cannot engage socially during this state
BroadlyAffectedAutism_4_138,BR,Broadly affected autism,A1,1,0.9979,4,BroadlyAffectedAutism halts learning until sensory regulation returns
BroadlyAffectedAutism_5_231,BR,Broadly affected autism,A20,1,0.9977,5,BroadlyAffectedAutism's disruption remains disproportionate to the lighting change
BroadlyAffectedAutism_3_40,BR,Broadly affected autism,A7,1,0.998,3,BroadlyAffectedAutism processes instructional content more slowly
BroadlyAffectedAutism_4_103,BR,Broadly affected autism,A6,1,0.9948,4,BroadlyAffectedAutism fails to integrate the changed lesson content
BroadlyAffectedAutism_5_245,BR,Broadly affected autism,A8,1,0.9976,5,BroadlyAffectedAutism retains no reliable episodic memory of this lesson
BroadlyAffectedAutism_4_104,BR,Broadly affected autism,A7,1,0.9964,4,BroadlyAffectedAutism falls further behind on socially complex content
BroadlyAffectedAutism_2_15,BR,Broadly affected autism,A3,1,0.9977,2,BroadlyAffectedAutism experiences cross-modal interference from light and sound
BroadlyAffectedAutism_3_38,BR,Broadly affected autism,A6,1,0.9983,3,BroadlyAffectedAutism experiences processing overload from the change
BroadlyAffectedAutism_1_3,BR,Broadly affected autism,A20,1,0.9978,1,BroadlyAffectedAutism generates disproportionate prediction error from light change
BroadlyAffectedAutism_2_9,BR,Broadly affected autism,A1,1,0.9979,2,BroadlyAffectedAutism loses access to learning and social engagement
BroadlyAffectedAutism_3_42,BR,Broadly affected autism,A24,1,0.9962,3,BroadlyAffectedAutism cannot integrate teacher feedback delivered now
