node_id,actor,actor_full,premise_id,converge_F,g_entailment_max,nivel,texto
BroadlyAffectedAutism_0_0,BR,Broadly affected autism,,1,0.9893,0,"An autistic cognitive architecture that prioritizes local sensory detail over global coherence, operates through concrete-visual representations, requires explicit rule structures, and regulates learning through predictable, closed-loop feedback, with hyperfocused, effortful attention regulation, and emotionally dysregulated, alexithymic affective processing, with delayed developmental timing and slowed complex processing."
BroadlyAffectedAutism_1_1,BR,Broadly affected autism,A20,1,0.9964,1,BroadlyAffectedAutism experiences disproportionate disruption from the redirection
BroadlyAffectedAutism_2_16,BR,Broadly affected autism,A20,1,0.9976,2,BroadlyAffectedAutism generates a large prediction error signal
BroadlyAffectedAutism_3_50,BR,Broadly affected autism,A1,1,0.9968,3,BroadlyAffectedAutism's cognitive processing becomes temporarily unavailable
BroadlyAffectedAutism_4_86,BR,Broadly affected autism,A1,1,0.9976,4,BroadlyAffectedAutism cannot engage in social interaction now
BroadlyAffectedAutism_5_238,BR,Broadly affected autism,A1,1,0.9886,5,BroadlyAffectedAutism remains unavailable for learning until regulated
BroadlyAffectedAutism_5_240,BR,Broadly affected autism,A24,1,0.9959,5,BroadlyAffectedAutism cannot process group task feedback now
BroadlyAffectedAutism_4_87,BR,Broadly affected autism,A1,1,0.9968,4,BroadlyAffectedAutism cannot learn until regulation restored
BroadlyAffectedAutism_3_53,BR,Broadly affected autism,A20,1,0.9983,3,BroadlyAffectedAutism's disruption exceeds the change's objective significance
BroadlyAffectedAutism_4_117,BR,Broadly affected autism,A21,1,0.9972,4,BroadlyAffectedAutism treats the disruption as a threat
BroadlyAffectedAutism_1_2,BR,Broadly affected autism,A11,1,0.9973,1,BroadlyAffectedAutism requires effortful control to shift attention
BroadlyAffectedAutism_2_7,BR,Broadly affected autism,A11,1,0.9978,2,BroadlyAffectedAutism cannot sustain attention on the group task automatically
BroadlyAffectedAutism_3_21,BR,Broadly affected autism,A11,1,0.9968,3,BroadlyAffectedAutism must expend effortful control to engage the task
BroadlyAffectedAutism_4_45,BR,Broadly affected autism,A11,0,0.9953,4,BroadlyAffectedAutism depletes limited effortful control resources quickly
BroadlyAffectedAutism_5_109,BR,Broadly affected autism,A20,0,0.9776,5,BroadlyAffectedAutism becomes more vulnerable to prediction error
BroadlyAffectedAutism_5_110,BR,Broadly affected autism,A6,1,0.9854,5,BroadlyAffectedAutism approaches processing overload from the task
BroadlyAffectedAutism_5_111,BR,Broadly affected autism,A21,1,0.9945,5,BroadlyAffectedAutism treats task difficulty as threatening failure
BroadlyAffectedAutism_4_46,BR,Broadly affected autism,A13,1,0.9918,4,BroadlyAffectedAutism transfers knowledge less reliably from the group task
BroadlyAffectedAutism_5_83,BR,Broadly affected autism,A22,1,0.9933,5,BroadlyAffectedAutism needs explicit instruction to reapply this learning
BroadlyAffectedAutism_6_183,BR,Broadly affected autism,A22,1,0.9921,6,BroadlyAffectedAutism cannot generalize the learning without new instruction
BroadlyAffectedAutism_6_185,BR,Broadly affected autism,A18,0,0.9633,6,BroadlyAffectedAutism stores the rule as explicit database entry
BroadlyAffectedAutism_5_84,BR,Broadly affected autism,A13,0,0.9899,5,BroadlyAffectedAutism generalizes concepts better via special interest tasks
BroadlyAffectedAutism_6_163,BR,Broadly affected autism,A13,0,0.9741,6,BroadlyAffectedAutism relies on special interest as primary learning gateway
BroadlyAffectedAutism_6_165,BR,Broadly affected autism,A22,1,0.9934,6,BroadlyAffectedAutism does not automatically transfer group-task rules elsewhere
BroadlyAffectedAutism_3_22,BR,Broadly affected autism,A12,0,0.9978,3,BroadlyAffectedAutism remains weakly motivated by the group task
BroadlyAffectedAutism_4_47,BR,Broadly affected autism,A12,1,0.992,4,BroadlyAffectedAutism disengages from the group task without linkage
BroadlyAffectedAutism_5_103,BR,Broadly affected autism,A12,1,0.9975,5,BroadlyAffectedAutism stays unmotivated by the unlinked group task
BroadlyAffectedAutism_6_202,BR,Broadly affected autism,A12,1,0.9909,6,BroadlyAffectedAutism requires interest-linked incentive to re-engage
BroadlyAffectedAutism_6_203,BR,Broadly affected autism,A13,1,0.9945,6,BroadlyAffectedAutism fails to generalize concepts from the task
BroadlyAffectedAutism_5_104,BR,Broadly affected autism,A21,1,0.994,5,BroadlyAffectedAutism treats disengagement as failure if socially framed
BroadlyAffectedAutism_4_48,BR,Broadly affected autism,A11,1,0.9942,4,BroadlyAffectedAutism requires continuous effortful control to stay engaged
