node_id,actor,actor_full,premise_id,converge_F,g_entailment_max,nivel,texto
BroadlyAffectedAutism_0_0,BR,Broadly affected autism,,1,0.9893,0,"An autistic cognitive architecture that prioritizes local sensory detail over global coherence, operates through concrete-visual representations, requires explicit rule structures, and regulates learning through predictable, closed-loop feedback, with hyperfocused, effortful attention regulation, and emotionally dysregulated, alexithymic affective processing, with delayed developmental timing and slowed complex processing."
BroadlyAffectedAutism_1_1,BR,Broadly affected autism,A17,1,0.9979,1,BroadlyAffectedAutism processes the sarcastic statement as literal meaning
BroadlyAffectedAutism_2_9,BR,Broadly affected autism,A17,1,0.996,2,BroadlyAffectedAutism requires additional steps to detect sarcasm intended
BroadlyAffectedAutism_2_10,BR,Broadly affected autism,A18,1,0.9976,2,BroadlyAffectedAutism fails to retrieve applicable pragmatic rule entry
BroadlyAffectedAutism_3_51,BR,Broadly affected autism,A18,1,0.9915,3,BroadlyAffectedAutism cannot match statement to social context
BroadlyAffectedAutism_4_93,BR,Broadly affected autism,A17,1,0.9978,4,BroadlyAffectedAutism responds to the statement as literally true
BroadlyAffectedAutism_5_219,BR,Broadly affected autism,A20,1,0.9917,5,BroadlyAffectedAutism generates unanticipated prediction error from peer reaction
BroadlyAffectedAutism_5_221,BR,Broadly affected autism,A18,1,0.9977,5,BroadlyAffectedAutism does not revise its pragmatic rule database automatically
BroadlyAffectedAutism_5_222,BR,Broadly affected autism,A22,1,0.9924,5,BroadlyAffectedAutism will misapply literal interpretation to future sarcasm
BroadlyAffectedAutism_4_94,BR,Broadly affected autism,A18,1,0.9974,4,BroadlyAffectedAutism cannot apply implicit social norm here
BroadlyAffectedAutism_5_216,BR,Broadly affected autism,A16,0,0.9952,5,BroadlyAffectedAutism may react to the remark after delay
BroadlyAffectedAutism_4_95,BR,Broadly affected autism,A20,1,0.9973,4,BroadlyAffectedAutism registers disproportionate prediction error signal
BroadlyAffectedAutism_3_52,BR,Broadly affected autism,A23,1,0.9973,3,BroadlyAffectedAutism responds based only on literal content
BroadlyAffectedAutism_4_99,BR,Broadly affected autism,A17,1,0.9969,4,BroadlyAffectedAutism produces a reply mismatched to sarcastic intent
BroadlyAffectedAutism_5_212,BR,Broadly affected autism,A24,1,0.9939,5,BroadlyAffectedAutism receives no causally proximate corrective feedback
BroadlyAffectedAutism_5_213,BR,Broadly affected autism,A21,1,0.9984,5,BroadlyAffectedAutism risks encoding the mismatch as failure
BroadlyAffectedAutism_5_214,BR,Broadly affected autism,A16,1,0.9969,5,BroadlyAffectedAutism registers the social mismatch only after delay
BroadlyAffectedAutism_4_100,BR,Broadly affected autism,A18,1,0.99,4,BroadlyAffectedAutism cannot apply the unspoken pragmatic norm
BroadlyAffectedAutism_4_101,BR,Broadly affected autism,A24,1,0.9971,4,BroadlyAffectedAutism's literal response pattern remains unchanged without corrective feedback
BroadlyAffectedAutism_2_11,BR,Broadly affected autism,A23,1,0.9979,2,BroadlyAffectedAutism does not detect the unspoken sarcastic intent
BroadlyAffectedAutism_3_33,BR,Broadly affected autism,A17,1,0.9982,3,BroadlyAffectedAutism responds based on the literal statement content
BroadlyAffectedAutism_4_60,BR,Broadly affected autism,A17,1,0.9985,4,BroadlyAffectedAutism's reply mismatches the speaker's intended meaning
BroadlyAffectedAutism_5_132,BR,Broadly affected autism,A20,1,0.9856,5,BroadlyAffectedAutism registers unanticipated social prediction error
BroadlyAffectedAutism_5_133,BR,Broadly affected autism,A18,1,0.9942,5,BroadlyAffectedAutism cannot infer the mismatch without explicit correction
BroadlyAffectedAutism_5_134,BR,Broadly affected autism,A24,1,0.9961,5,BroadlyAffectedAutism fails to update without observable specific feedback
BroadlyAffectedAutism_5_135,BR,Broadly affected autism,A16,1,0.9962,5,BroadlyAffectedAutism's recognition of the mismatch is delayed
BroadlyAffectedAutism_4_61,BR,Broadly affected autism,A18,1,0.9983,4,BroadlyAffectedAutism cannot apply the implicit sarcasm convention
BroadlyAffectedAutism_5_164,BR,Broadly affected autism,A18,1,0.9977,5,BroadlyAffectedAutism requires explicit retrieval of a sarcasm rule entry
BroadlyAffectedAutism_4_62,BR,Broadly affected autism,A16,1,0.9955,4,BroadlyAffectedAutism shows no immediate reaction to the hidden intent
BroadlyAffectedAutism_5_143,BR,Broadly affected autism,A16,0,0.9794,5,BroadlyAffectedAutism may generate a delayed emotional response later
BroadlyAffectedAutism_5_144,BR,Broadly affected autism,A18,1,0.9952,5,BroadlyAffectedAutism requires explicit retrieval to later detect the sarcasm
BroadlyAffectedAutism_3_35,BR,Broadly affected autism,A23,1,0.9977,3,BroadlyAffectedAutism fails to apply the unspoken social convention
BroadlyAffectedAutism_4_90,BR,Broadly affected autism,A17,1,0.9982,4,BroadlyAffectedAutism treats the sarcastic statement as factually true
BroadlyAffectedAutism_5_192,BR,Broadly affected autism,A8,1,0.9974,5,BroadlyAffectedAutism encodes the sarcastic statement as semantic fact
BroadlyAffectedAutism_5_193,BR,Broadly affected autism,A24,1,0.9942,5,BroadlyAffectedAutism will not revise this belief without explicit feedback
BroadlyAffectedAutism_5_195,BR,Broadly affected autism,A18,1,0.9916,5,BroadlyAffectedAutism lacks a stored rule flagging this exchange
BroadlyAffectedAutism_4_91,BR,Broadly affected autism,A18,1,0.9914,4,BroadlyAffectedAutism finds no matching explicit rule entry
BroadlyAffectedAutism_3_36,BR,Broadly affected autism,A15,1,0.9968,3,BroadlyAffectedAutism treats the remark as literal behavioral data only
BroadlyAffectedAutism_4_73,BR,Broadly affected autism,A17,1,0.998,4,BroadlyAffectedAutism misinterprets the classmate's intended meaning
BroadlyAffectedAutism_5_153,BR,Broadly affected autism,A17,1,0.9964,5,BroadlyAffectedAutism requires extra inferential steps to reinterpret statement
BroadlyAffectedAutism_5_154,BR,Broadly affected autism,A18,1,0.9935,5,BroadlyAffectedAutism cannot apply pragmatic rule without explicit retrieval
BroadlyAffectedAutism_4_74,BR,Broadly affected autism,A18,1,0.9924,4,BroadlyAffectedAutism requires explicit rule retrieval to detect intent
BroadlyAffectedAutism_5_160,BR,Broadly affected autism,A18,1,0.9612,5,BroadlyAffectedAutism searches stored database for matching social rule
BroadlyAffectedAutism_5_161,BR,Broadly affected autism,A17,0,0.9549,5,BroadlyAffectedAutism applies additional inferential steps before responding
BroadlyAffectedAutism_5_162,BR,Broadly affected autism,A23,1,0.9887,5,BroadlyAffectedAutism fails to detect intent without explicit matching rule
BroadlyAffectedAutism_4_75,BR,Broadly affected autism,A23,1,0.9972,4,BroadlyAffectedAutism fails to detect the implied social expectation
BroadlyAffectedAutism_5_137,BR,Broadly affected autism,A23,1,0.996,5,BroadlyAffectedAutism does not adjust behavior to the unspoken expectation
BroadlyAffectedAutism_5_138,BR,Broadly affected autism,A15,1,0.9963,5,BroadlyAffectedAutism requires further inferential analysis of the remark
BroadlyAffectedAutism_4_76,BR,Broadly affected autism,A15,0,0.9931,4,BroadlyAffectedAutism requires additional inference to interpret the behavior
BroadlyAffectedAutism_5_118,BR,Broadly affected autism,A18,1,0.9977,5,BroadlyAffectedAutism searches explicit stored rules for sarcasm cases
BroadlyAffectedAutism_5_119,BR,Broadly affected autism,A23,1,0.9984,5,BroadlyAffectedAutism cannot reliably apply the unspoken sarcastic norm
