node_id,actor,actor_full,premise_id,converge_F,g_entailment_max,nivel,texto
BroadlyAffectedAutism_0_0,BR,Broadly affected autism,,1,0.9893,0,"An autistic cognitive architecture that prioritizes local sensory detail over global coherence, operates through concrete-visual representations, requires explicit rule structures, and regulates learning through predictable, closed-loop feedback, with hyperfocused, effortful attention regulation, and emotionally dysregulated, alexithymic affective processing, with delayed developmental timing and slowed complex processing."
BroadlyAffectedAutism_1_1,BR,Broadly affected autism,A17,1,0.9979,1,BroadlyAffectedAutism does not automatically decode the mocking's ironic intent
BroadlyAffectedAutism_2_6,BR,Broadly affected autism,A17,1,0.9962,2,BroadlyAffectedAutism processes the mocking words literally
BroadlyAffectedAutism_3_35,BR,Broadly affected autism,A17,1,0.9953,3,BroadlyAffectedAutism requires extra inferential steps to detect mockery
BroadlyAffectedAutism_4_97,BR,Broadly affected autism,A16,1,0.998,4,BroadlyAffectedAutism's emotional response to mockery occurs later
BroadlyAffectedAutism_5_199,BR,Broadly affected autism,A24,1,0.9951,5,BroadlyAffectedAutism's delayed reaction receives no temporally proximate feedback
BroadlyAffectedAutism_4_98,BR,Broadly affected autism,A18,0,0.9916,4,BroadlyAffectedAutism consults stored rules to interpret mockery
BroadlyAffectedAutism_5_212,BR,Broadly affected autism,A18,0,0.9887,5,BroadlyAffectedAutism searches its rule database for matching mockery pattern
BroadlyAffectedAutism_3_36,BR,Broadly affected autism,A18,1,0.9956,3,BroadlyAffectedAutism must consciously retrieve rules to identify mockery
BroadlyAffectedAutism_4_95,BR,Broadly affected autism,A22,1,0.9886,4,BroadlyAffectedAutism fails to apply the rule if context differs
BroadlyAffectedAutism_5_235,BR,Broadly affected autism,A20,0,0.9916,5,BroadlyAffectedAutism experiences disproportionate prediction error from mismatch
BroadlyAffectedAutism_5_237,BR,Broadly affected autism,A23,1,0.9978,5,BroadlyAffectedAutism fails to detect the unspoken social violation
BroadlyAffectedAutism_5_238,BR,Broadly affected autism,A22,1,0.9945,5,BroadlyAffectedAutism cannot re-anchor the mockery rule without instruction
BroadlyAffectedAutism_4_96,BR,Broadly affected autism,A18,1,0.9961,4,BroadlyAffectedAutism cannot identify mockery lacking a matching stored rule
BroadlyAffectedAutism_5_228,BR,Broadly affected autism,A18,1,0.9943,5,BroadlyAffectedAutism treats the mocking as socially unclassified
BroadlyAffectedAutism_3_37,BR,Broadly affected autism,A15,0,0.993,3,BroadlyAffectedAutism treats classmate's laughter as data needing analysis
BroadlyAffectedAutism_4_118,BR,Broadly affected autism,A15,1,0.9969,4,BroadlyAffectedAutism lacks automatic empathic understanding of the mockery
BroadlyAffectedAutism_5_216,BR,Broadly affected autism,A14,1,0.997,5,BroadlyAffectedAutism cannot identify its own physiological arousal state
BroadlyAffectedAutism_3_39,BR,Broadly affected autism,A14,1,0.9982,3,BroadlyAffectedAutism cannot label the arousal from the mocking
BroadlyAffectedAutism_4_109,BR,Broadly affected autism,A15,1,0.9954,4,BroadlyAffectedAutism must infer intent from classmate's behavioral cues
BroadlyAffectedAutism_5_222,BR,Broadly affected autism,A18,1,0.9945,5,BroadlyAffectedAutism retrieves stored social rules to interpret cues
BroadlyAffectedAutism_4_110,BR,Broadly affected autism,A14,1,0.9965,4,BroadlyAffectedAutism experiences unidentified physiological arousal from the mocking
BroadlyAffectedAutism_5_219,BR,Broadly affected autism,A1,0,0.4525,5,BroadlyAffectedAutism may exceed sensory regulatory threshold now
BroadlyAffectedAutism_2_7,BR,Broadly affected autism,A15,1,0.9904,2,BroadlyAffectedAutism treats the mocking as behavioral data requiring analysis
BroadlyAffectedAutism_3_31,BR,Broadly affected autism,A18,1,0.9952,3,BroadlyAffectedAutism searches stored rules for matching social scenario
BroadlyAffectedAutism_4_148,BR,Broadly affected autism,A18,1,0.9974,4,BroadlyAffectedAutism finds no explicit rule matching this scenario
BroadlyAffectedAutism_4_149,BR,Broadly affected autism,A23,1,0.9981,4,BroadlyAffectedAutism cannot detect the implicit mocking convention
BroadlyAffectedAutism_4_151,BR,Broadly affected autism,A18,1,0.996,4,BroadlyAffectedAutism requires conscious retrieval to select a response
BroadlyAffectedAutism_5_250,BR,Broadly affected autism,A18,1,0.953,5,BroadlyAffectedAutism fails to respond if no matching rule exists
BroadlyAffectedAutism_5_251,BR,Broadly affected autism,A23,1,0.9818,5,BroadlyAffectedAutism cannot respond without an explicit stored rule
BroadlyAffectedAutism_3_34,BR,Broadly affected autism,A7,1,0.9918,3,BroadlyAffectedAutism processes the social information slowly
BroadlyAffectedAutism_4_91,BR,Broadly affected autism,A16,1,0.9968,4,BroadlyAffectedAutism responds to the mocking after a delay
BroadlyAffectedAutism_5_201,BR,Broadly affected autism,A16,1,0.9964,5,BroadlyAffectedAutism's reaction surfaces detached from the triggering moment
BroadlyAffectedAutism_5_203,BR,Broadly affected autism,A18,0,0.9771,5,BroadlyAffectedAutism must retrieve a stored rule to respond
BroadlyAffectedAutism_4_93,BR,Broadly affected autism,A24,1,0.9976,4,BroadlyAffectedAutism cannot link the mocking to immediate feedback
BroadlyAffectedAutism_5_204,BR,Broadly affected autism,A24,1,0.9964,5,BroadlyAffectedAutism does not update behavior from this mocking event
BroadlyAffectedAutism_2_8,BR,Broadly affected autism,A18,1,0.9971,2,BroadlyAffectedAutism must retrieve explicit rules to interpret mocking
BroadlyAffectedAutism_3_46,BR,Broadly affected autism,A18,0,0.9862,3,BroadlyAffectedAutism searches stored rules for matching mockery scenario
BroadlyAffectedAutism_3_49,BR,Broadly affected autism,A24,0,0.9934,3,BroadlyAffectedAutism cannot update behavior without explicit causal feedback
BroadlyAffectedAutism_4_182,BR,Broadly affected autism,A21,1,0.9978,4,BroadlyAffectedAutism cannot learn if mocking signals shame
BroadlyAffectedAutism_2_9,BR,Broadly affected autism,A16,1,0.9982,2,BroadlyAffectedAutism's emotional response to mocking is delayed
BroadlyAffectedAutism_3_28,BR,Broadly affected autism,A16,1,0.9969,3,BroadlyAffectedAutism shows no visible reaction during the mocking event
BroadlyAffectedAutism_3_29,BR,Broadly affected autism,A14,1,0.9956,3,BroadlyAffectedAutism cannot label the emerging emotional state
BroadlyAffectedAutism_1_2,BR,Broadly affected autism,A15,1,0.9666,1,BroadlyAffectedAutism must infer the classmate's behavior as data
BroadlyAffectedAutism_2_19,BR,Broadly affected autism,A15,1,0.9969,2,BroadlyAffectedAutism requires inferential analysis to interpret mockery
BroadlyAffectedAutism_3_52,BR,Broadly affected autism,A18,1,0.9811,3,BroadlyAffectedAutism must retrieve stored rules to classify mockery
BroadlyAffectedAutism_4_132,BR,Broadly affected autism,A18,1,0.9906,4,BroadlyAffectedAutism fails to classify mockery without matching stored entry
BroadlyAffectedAutism_3_53,BR,Broadly affected autism,A17,0,0.9891,3,BroadlyAffectedAutism may decode mocking words only literally
BroadlyAffectedAutism_4_122,BR,Broadly affected autism,A17,1,0.9977,4,BroadlyAffectedAutism fails to register the intended insult automatically
BroadlyAffectedAutism_2_20,BR,Broadly affected autism,A17,1,0.9976,2,BroadlyAffectedAutism cannot automatically decode mocking intent
BroadlyAffectedAutism_3_63,BR,Broadly affected autism,A18,1,0.9961,3,BroadlyAffectedAutism must consciously retrieve stored social rules
BroadlyAffectedAutism_4_141,BR,Broadly affected autism,A23,1,0.9976,4,BroadlyAffectedAutism fails to apply unstated social norms here
BroadlyAffectedAutism_2_22,BR,Broadly affected autism,A14,1,0.9982,2,BroadlyAffectedAutism cannot label the arousal it experiences
BroadlyAffectedAutism_3_81,BR,Broadly affected autism,A16,1,0.9978,3,BroadlyAffectedAutism produces an emotional response only later
BroadlyAffectedAutism_4_179,BR,Broadly affected autism,A16,1,0.9965,4,BroadlyAffectedAutism's emotional reaction surfaces disconnected from the mocking event
BroadlyAffectedAutism_5_246,BR,Broadly affected autism,A24,1,0.997,5,BroadlyAffectedAutism cannot use the mocking as learning feedback
BroadlyAffectedAutism_5_247,BR,Broadly affected autism,A10,1,0.9984,5,BroadlyAffectedAutism cannot reliably recall the mocking event later
BroadlyAffectedAutism_5_248,BR,Broadly affected autism,A20,0,0.9931,5,BroadlyAffectedAutism's delayed reaction triggers disproportionate prediction-error signals
BroadlyAffectedAutism_4_180,BR,Broadly affected autism,A24,1,0.9973,4,BroadlyAffectedAutism cannot use this delayed reaction as learning feedback
BroadlyAffectedAutism_5_304,BR,Broadly affected autism,A24,1,0.9975,5,BroadlyAffectedAutism's social rule set remains unupdated by this event
BroadlyAffectedAutism_5_305,BR,Broadly affected autism,A18,1,0.9922,5,BroadlyAffectedAutism cannot store the mockery as explicit rule
BroadlyAffectedAutism_5_307,BR,Broadly affected autism,A20,1,0.9957,5,BroadlyAffectedAutism will treat similar future mockery as unanticipated
BroadlyAffectedAutism_3_82,BR,Broadly affected autism,A14,1,0.9941,3,BroadlyAffectedAutism experiences unidentified physiological arousal persisting
BroadlyAffectedAutism_3_83,BR,Broadly affected autism,A21,1,0.9881,3,BroadlyAffectedAutism risks a threat response blocking learning
BroadlyAffectedAutism_4_185,BR,Broadly affected autism,A21,1,0.9974,4,BroadlyAffectedAutism fails to extract learning from the mockery
BroadlyAffectedAutism_5_286,BR,Broadly affected autism,A8,1,0.9978,5,BroadlyAffectedAutism retains the mockery episode poorly
BroadlyAffectedAutism_5_288,BR,Broadly affected autism,A22,1,0.9977,5,BroadlyAffectedAutism cannot generalize this incident to future mockery
BroadlyAffectedAutism_4_187,BR,Broadly affected autism,A8,0,0.9975,4,BroadlyAffectedAutism poorly encodes this social event episodically
BroadlyAffectedAutism_5_312,BR,Broadly affected autism,A10,1,0.9968,5,BroadlyAffectedAutism cannot reliably retrieve this event without visual cues
BroadlyAffectedAutism_5_314,BR,Broadly affected autism,A8,1,0.9924,5,BroadlyAffectedAutism retains isolated facts despite poor narrative encoding
BroadlyAffectedAutism_2_23,BR,Broadly affected autism,A18,1,0.9885,2,BroadlyAffectedAutism must retrieve explicit rules for social mockery
BroadlyAffectedAutism_3_58,BR,Broadly affected autism,A22,1,0.9979,3,BroadlyAffectedAutism cannot generalize prior rules to this mockery
BroadlyAffectedAutism_4_173,BR,Broadly affected autism,A20,1,0.9972,4,BroadlyAffectedAutism generates a disproportionate prediction error signal
BroadlyAffectedAutism_4_174,BR,Broadly affected autism,A22,1,0.9969,4,BroadlyAffectedAutism requires explicit instruction to re-anchor this rule
BroadlyAffectedAutism_4_175,BR,Broadly affected autism,A18,1,0.997,4,BroadlyAffectedAutism cannot intuitively infer the appropriate social response
BroadlyAffectedAutism_5_264,BR,Broadly affected autism,A16,1,0.9975,5,BroadlyAffectedAutism produces a socially delayed response later
BroadlyAffectedAutism_1_3,BR,Broadly affected autism,A14,1,0.9924,1,BroadlyAffectedAutism registers arousal without labeling the emotion
BroadlyAffectedAutism_2_24,BR,Broadly affected autism,A16,1,0.9964,2,BroadlyAffectedAutism will produce an emotional response after a delay
BroadlyAffectedAutism_3_77,BR,Broadly affected autism,A16,1,0.989,3,BroadlyAffectedAutism will react to the mocking well after it ends
BroadlyAffectedAutism_4_159,BR,Broadly affected autism,A16,1,0.9981,4,BroadlyAffectedAutism's delayed reaction appears disconnected from the mocking event
BroadlyAffectedAutism_4_160,BR,Broadly affected autism,A24,1,0.9937,4,BroadlyAffectedAutism cannot link its reaction to the causal trigger
BroadlyAffectedAutism_4_161,BR,Broadly affected autism,A14,1,0.9979,4,BroadlyAffectedAutism cannot name the emotion driving its reaction
BroadlyAffectedAutism_5_292,BR,Broadly affected autism,A14,1,0.996,5,BroadlyAffectedAutism experiences unlabeled physiological arousal from the event
BroadlyAffectedAutism_5_294,BR,Broadly affected autism,A24,1,0.9929,5,BroadlyAffectedAutism cannot form specific feedback from the reaction
BroadlyAffectedAutism_5_295,BR,Broadly affected autism,A21,1,0.9974,5,BroadlyAffectedAutism cannot process the reaction as learning information
BroadlyAffectedAutism_3_79,BR,Broadly affected autism,A14,1,0.9956,3,BroadlyAffectedAutism still cannot name the emotion despite arousal
BroadlyAffectedAutism_4_191,BR,Broadly affected autism,A15,1,0.9946,4,BroadlyAffectedAutism must infer classmate intent from behavioral data
BroadlyAffectedAutism_3_80,BR,Broadly affected autism,A21,1,0.998,3,BroadlyAffectedAutism's learning is blocked if mocking is framed as shame
BroadlyAffectedAutism_4_119,BR,Broadly affected autism,A21,1,0.9979,4,BroadlyAffectedAutism's threat response activates instead of learning
BroadlyAffectedAutism_2_25,BR,Broadly affected autism,A15,1,0.9982,2,BroadlyAffectedAutism must infer the mockery's meaning from behavioral cues
BroadlyAffectedAutism_3_43,BR,Broadly affected autism,A18,1,0.995,3,BroadlyAffectedAutism retrieves stored pragmatic rules to interpret behavior
BroadlyAffectedAutism_4_126,BR,Broadly affected autism,A18,1,0.9941,4,BroadlyAffectedAutism consciously matches behavior to stored rule entries
BroadlyAffectedAutism_5_274,BR,Broadly affected autism,A17,1,0.9882,5,BroadlyAffectedAutism risks decoding mockery only literally
BroadlyAffectedAutism_5_276,BR,Broadly affected autism,A21,1,0.9942,5,"BroadlyAffectedAutism treats perceived failure as threatening, blocking learning"
BroadlyAffectedAutism_3_44,BR,Broadly affected autism,A16,1,0.9983,3,BroadlyAffectedAutism's emotional reaction lags behind the mockery event
BroadlyAffectedAutism_2_26,BR,Broadly affected autism,A14,1,0.9949,2,BroadlyAffectedAutism cannot report which emotion it is experiencing
BroadlyAffectedAutism_2_27,BR,Broadly affected autism,A1,1,0.9973,2,BroadlyAffectedAutism risks losing access to social processing capacity
BroadlyAffectedAutism_3_69,BR,Broadly affected autism,A1,1,0.9876,3,BroadlyAffectedAutism becomes unavailable for learning and interaction
BroadlyAffectedAutism_4_172,BR,Broadly affected autism,A24,1,0.9936,4,BroadlyAffectedAutism fails to update behavior from this feedback
BroadlyAffectedAutism_1_4,BR,Broadly affected autism,A16,1,0.9957,1,BroadlyAffectedAutism's emotional response is delayed past the event
BroadlyAffectedAutism_2_10,BR,Broadly affected autism,A14,1,0.9939,2,BroadlyAffectedAutism cannot label the emotion when it surfaces
BroadlyAffectedAutism_2_11,BR,Broadly affected autism,A24,1,0.996,2,BroadlyAffectedAutism fails to link mockery to its cause
BroadlyAffectedAutism_3_65,BR,Broadly affected autism,A24,1,0.9957,3,BroadlyAffectedAutism's behavior model remains unchanged by the mockery
BroadlyAffectedAutism_4_155,BR,Broadly affected autism,A24,1,0.9831,4,BroadlyAffectedAutism receives no observable causal feedback signal
BroadlyAffectedAutism_4_157,BR,Broadly affected autism,A22,1,0.9973,4,BroadlyAffectedAutism will not generalize this incident to future contexts
BroadlyAffectedAutism_4_158,BR,Broadly affected autism,A20,1,0.9906,4,BroadlyAffectedAutism will show disproportionate error if mockery recurs unexpectedly
BroadlyAffectedAutism_5_280,BR,Broadly affected autism,A1,1,0.9958,5,BroadlyAffectedAutism's cognitive processing goes offline until regulated
BroadlyAffectedAutism_5_281,BR,Broadly affected autism,A6,1,0.9973,5,BroadlyAffectedAutism undergoes processing overload rather than adaptive updating
BroadlyAffectedAutism_3_66,BR,Broadly affected autism,A23,1,0.9972,3,BroadlyAffectedAutism cannot apply the implicit social insult meaning
BroadlyAffectedAutism_4_177,BR,Broadly affected autism,A15,0,0.9907,4,BroadlyAffectedAutism treats the classmate's behavior as uninterpreted data
BroadlyAffectedAutism_5_282,BR,Broadly affected autism,A18,1,0.9905,5,BroadlyAffectedAutism requires explicit rule retrieval to interpret behavior
BroadlyAffectedAutism_5_285,BR,Broadly affected autism,A22,1,0.9979,5,BroadlyAffectedAutism cannot generalize this incident to other contexts
BroadlyAffectedAutism_3_68,BR,Broadly affected autism,A18,1,0.9965,3,BroadlyAffectedAutism cannot retrieve a matching stored social rule
BroadlyAffectedAutism_4_188,BR,Broadly affected autism,A18,1,0.9952,4,BroadlyAffectedAutism cannot determine an appropriate response action
BroadlyAffectedAutism_4_189,BR,Broadly affected autism,A23,1,0.998,4,BroadlyAffectedAutism cannot apply an implicit social convention here
BroadlyAffectedAutism_2_13,BR,Broadly affected autism,A21,1,0.9972,2,BroadlyAffectedAutism cannot process the mockery as learning input
BroadlyAffectedAutism_3_40,BR,Broadly affected autism,A22,1,0.9946,3,BroadlyAffectedAutism will not generalize this social outcome later
BroadlyAffectedAutism_4_152,BR,Broadly affected autism,A22,0,0.9767,4,BroadlyAffectedAutism will repeat similar mistakes in new contexts
BroadlyAffectedAutism_4_153,BR,Broadly affected autism,A18,1,0.9963,4,BroadlyAffectedAutism lacks a stored rule for this mockery type
BroadlyAffectedAutism_5_277,BR,Broadly affected autism,A18,1,0.9952,5,BroadlyAffectedAutism cannot retrieve a matching pragmatic rule
BroadlyAffectedAutism_5_279,BR,Broadly affected autism,A23,1,0.9939,5,BroadlyAffectedAutism will not reliably detect this social norm
BroadlyAffectedAutism_4_154,BR,Broadly affected autism,A23,1,0.9952,4,BroadlyAffectedAutism requires explicit instruction to recognize future mockery
BroadlyAffectedAutism_5_230,BR,Broadly affected autism,A18,1,0.9968,5,BroadlyAffectedAutism stores mockery-recognition as explicit rule entry
BroadlyAffectedAutism_5_231,BR,Broadly affected autism,A23,1,0.9961,5,BroadlyAffectedAutism applies mockery rule only when explicitly stated
BroadlyAffectedAutism_3_41,BR,Broadly affected autism,A18,1,0.9972,3,BroadlyAffectedAutism cannot infer the unspoken social rule violated
BroadlyAffectedAutism_4_130,BR,Broadly affected autism,A23,1,0.9975,4,BroadlyAffectedAutism fails to detect the implicit social expectation
BroadlyAffectedAutism_5_240,BR,Broadly affected autism,A23,1,0.9976,5,BroadlyAffectedAutism does not adjust behavior to the unspoken expectation
BroadlyAffectedAutism_4_131,BR,Broadly affected autism,A15,1,0.9913,4,BroadlyAffectedAutism treats the mockery only as behavioral data
BroadlyAffectedAutism_5_233,BR,Broadly affected autism,A23,1,0.997,5,BroadlyAffectedAutism cannot resolve mockery's meaning without explicit rule
BroadlyAffectedAutism_3_42,BR,Broadly affected autism,A24,1,0.9905,3,BroadlyAffectedAutism's behavior remains unchanged by this feedback
BroadlyAffectedAutism_4_162,BR,Broadly affected autism,A22,0,0.9915,4,BroadlyAffectedAutism will repeat the mocked behavior in similar contexts
BroadlyAffectedAutism_5_252,BR,Broadly affected autism,A22,1,0.9933,5,BroadlyAffectedAutism fails to adapt behavior across similar contexts
BroadlyAffectedAutism_5_254,BR,Broadly affected autism,A19,1,0.9956,5,BroadlyAffectedAutism treats the repeated behavior as routine
BroadlyAffectedAutism_4_164,BR,Broadly affected autism,A24,1,0.9907,4,BroadlyAffectedAutism requires observable specific proximate feedback to update
BroadlyAffectedAutism_1_5,BR,Broadly affected autism,A20,1,0.9977,1,BroadlyAffectedAutism generates disproportionate prediction error from the unanticipated mockery
BroadlyAffectedAutism_2_17,BR,Broadly affected autism,A17,1,0.9969,2,BroadlyAffectedAutism processes the mocking words literally by default
BroadlyAffectedAutism_3_54,BR,Broadly affected autism,A17,1,0.998,3,BroadlyAffectedAutism fails to detect the intended insulting meaning
BroadlyAffectedAutism_4_144,BR,Broadly affected autism,A15,1,0.993,4,BroadlyAffectedAutism treats the mockery as neutral behavioral data
BroadlyAffectedAutism_5_243,BR,Broadly affected autism,A15,0,0.9927,5,BroadlyAffectedAutism requires inferential analysis to interpret the behavior
BroadlyAffectedAutism_5_244,BR,Broadly affected autism,A18,0,0.9908,5,BroadlyAffectedAutism searches explicit rules for matching social context
BroadlyAffectedAutism_4_147,BR,Broadly affected autism,A18,1,0.9976,4,BroadlyAffectedAutism fails to retrieve a matching social rule
BroadlyAffectedAutism_3_55,BR,Broadly affected autism,A17,1,0.9938,3,BroadlyAffectedAutism requires additional processing steps to decode intent
BroadlyAffectedAutism_4_137,BR,Broadly affected autism,A18,1,0.97,4,BroadlyAffectedAutism searches stored pragmatic rules for a match
BroadlyAffectedAutism_4_139,BR,Broadly affected autism,A23,1,0.9969,4,BroadlyAffectedAutism may fail to detect unspoken hostile intent
BroadlyAffectedAutism_5_268,BR,Broadly affected autism,A18,0,0.9839,5,BroadlyAffectedAutism searches stored rules to interpret the event
BroadlyAffectedAutism_2_18,BR,Broadly affected autism,A1,0,0.8623,2,BroadlyAffectedAutism risks going offline from the prediction error
BroadlyAffectedAutism_3_87,BR,Broadly affected autism,A1,1,0.9975,3,BroadlyAffectedAutism loses access to social engagement temporarily
BroadlyAffectedAutism_4_209,BR,Broadly affected autism,A15,1,0.9938,4,BroadlyAffectedAutism cannot infer classmates' intent without analysis
BroadlyAffectedAutism_4_210,BR,Broadly affected autism,A1,1,0.9788,4,BroadlyAffectedAutism remains unavailable for learning until regulated
BroadlyAffectedAutism_4_211,BR,Broadly affected autism,A18,1,0.9973,4,BroadlyAffectedAutism cannot intuitively retrieve applicable social rule
MixedASDwithDelay_0_0,MX,Mixed ASD with developmental delay,,1,0.9881,0,"An autistic cognitive architecture that prioritizes local sensory detail over global coherence, operates through concrete-visual representations, requires explicit rule structures, and regulates learning through predictable, closed-loop feedback, with delayed developmental timing and slowed complex processing."
MixedASDwithDelay_1_1,MX,Mixed ASD with developmental delay,A17,1,0.9956,1,MixedASDwithDelay does not automatically decode mockery as ridicule
