node_id,actor,actor_full,premise_id,converge_F,g_entailment_max,nivel,texto
BroadlyAffectedAutism_0_0,BR,Broadly affected autism,,1,0.9893,0,"An autistic cognitive architecture that prioritizes local sensory detail over global coherence, operates through concrete-visual representations, requires explicit rule structures, and regulates learning through predictable, closed-loop feedback, with hyperfocused, effortful attention regulation, and emotionally dysregulated, alexithymic affective processing, with delayed developmental timing and slowed complex processing."
BroadlyAffectedAutism_1_1,BR,Broadly affected autism,A20,1,0.9972,1,BroadlyAffectedAutism generates disproportionate prediction error signal
BroadlyAffectedAutism_2_18,BR,Broadly affected autism,A20,1,0.9978,2,BroadlyAffectedAutism experiences disruption disproportionate to schedule change significance
BroadlyAffectedAutism_3_41,BR,Broadly affected autism,A1,1,0.9968,3,BroadlyAffectedAutism risks going offline from overload
BroadlyAffectedAutism_4_119,BR,Broadly affected autism,A1,1,0.9976,4,BroadlyAffectedAutism becomes unable to process learning tasks
BroadlyAffectedAutism_3_45,BR,Broadly affected autism,A21,1,0.9975,3,BroadlyAffectedAutism blocks learning if change framed as failure
BroadlyAffectedAutism_4_77,BR,Broadly affected autism,A21,1,0.9928,4,BroadlyAffectedAutism activates a threat response to the change
BroadlyAffectedAutism_4_78,BR,Broadly affected autism,A24,1,0.9955,4,"BroadlyAffectedAutism requires observable, specific, causal feedback to update"
BroadlyAffectedAutism_5_176,BR,Broadly affected autism,A24,1,0.996,5,BroadlyAffectedAutism fails to update without explicit causal feedback
BroadlyAffectedAutism_5_178,BR,Broadly affected autism,A19,1,0.9922,5,BroadlyAffectedAutism diverts resources until new routine is explicitly encoded
BroadlyAffectedAutism_2_20,BR,Broadly affected autism,A1,1,0.9972,2,BroadlyAffectedAutism risks going offline for learning and engagement
BroadlyAffectedAutism_3_61,BR,Broadly affected autism,A1,1,0.9961,3,BroadlyAffectedAutism suspends social interaction until regulation restored
BroadlyAffectedAutism_4_141,BR,Broadly affected autism,A23,1,0.9878,4,BroadlyAffectedAutism requires explicit restated rules to proceed
BroadlyAffectedAutism_3_62,BR,Broadly affected autism,A1,1,0.9911,3,BroadlyAffectedAutism cannot process new instructions while offline
BroadlyAffectedAutism_4_142,BR,Broadly affected autism,A1,1,0.9968,4,BroadlyAffectedAutism cannot engage socially while offline
BroadlyAffectedAutism_3_64,BR,Broadly affected autism,A11,1,0.9939,3,BroadlyAffectedAutism cannot sustain attention without special-interest anchor
BroadlyAffectedAutism_4_131,BR,Broadly affected autism,A11,1,0.996,4,BroadlyAffectedAutism requires effortful control to engage new schedule
BroadlyAffectedAutism_5_229,BR,Broadly affected autism,A19,1,0.9977,5,BroadlyAffectedAutism has fewer resources for other tasks
BroadlyAffectedAutism_5_230,BR,Broadly affected autism,A11,1,0.9858,5,BroadlyAffectedAutism cannot sustain this effort automatically
BroadlyAffectedAutism_5_231,BR,Broadly affected autism,A22,1,0.9957,5,BroadlyAffectedAutism will not generalize this adjustment later
BroadlyAffectedAutism_5_232,BR,Broadly affected autism,A24,1,0.9966,5,BroadlyAffectedAutism needs explicit feedback to learn new schedule
BroadlyAffectedAutism_4_132,BR,Broadly affected autism,A12,0,0.9886,4,BroadlyAffectedAutism resists teacher instructions lacking special-interest link
BroadlyAffectedAutism_4_133,BR,Broadly affected autism,A13,1,0.992,4,BroadlyAffectedAutism fails to generalize schedule change without special-interest anchor
BroadlyAffectedAutism_5_247,BR,Broadly affected autism,A22,1,0.9979,5,BroadlyAffectedAutism requires explicit instruction to re-anchor schedule
BroadlyAffectedAutism_1_2,BR,Broadly affected autism,A19,1,0.998,1,BroadlyAffectedAutism loses cognitive resources previously freed by routine
BroadlyAffectedAutism_2_8,BR,Broadly affected autism,A1,1,0.996,2,BroadlyAffectedAutism risks exceeding its regulatory threshold
BroadlyAffectedAutism_3_54,BR,Broadly affected autism,A1,1,0.9937,3,BroadlyAffectedAutism risks losing access to learning ability
BroadlyAffectedAutism_4_106,BR,Broadly affected autism,A1,1,0.9931,4,BroadlyAffectedAutism becomes unable to process new instructions
BroadlyAffectedAutism_5_219,BR,Broadly affected autism,A18,1,0.9818,5,BroadlyAffectedAutism cannot retrieve a matching rule for the change
BroadlyAffectedAutism_5_221,BR,Broadly affected autism,A21,1,0.9983,5,BroadlyAffectedAutism may interpret the disruption as failure
BroadlyAffectedAutism_4_107,BR,Broadly affected autism,A1,1,0.9979,4,BroadlyAffectedAutism loses capacity for social engagement temporarily
BroadlyAffectedAutism_5_259,BR,Broadly affected autism,A21,1,0.9505,5,BroadlyAffectedAutism risks threat response if socially blamed
BroadlyAffectedAutism_3_55,BR,Broadly affected autism,A1,1,0.9979,3,BroadlyAffectedAutism risks losing capacity for social engagement
BroadlyAffectedAutism_4_128,BR,Broadly affected autism,A18,1,0.9973,4,BroadlyAffectedAutism cannot retrieve stored pragmatic social rules
BroadlyAffectedAutism_4_130,BR,Broadly affected autism,A15,1,0.9917,4,BroadlyAffectedAutism cannot infer others' reactions to the disruption
BroadlyAffectedAutism_5_254,BR,Broadly affected autism,A18,0,0.9862,5,BroadlyAffectedAutism must consciously retrieve stored social rules
BroadlyAffectedAutism_5_256,BR,Broadly affected autism,A23,1,0.9949,5,BroadlyAffectedAutism cannot detect others' unspoken expectations now
BroadlyAffectedAutism_3_56,BR,Broadly affected autism,A20,0,0.9886,3,BroadlyAffectedAutism generates disproportionate error signals from the change
BroadlyAffectedAutism_4_113,BR,Broadly affected autism,A1,1,0.9961,4,BroadlyAffectedAutism risks cognitive processing going offline
